text,sentiment
I love this product,1
This is a terrible movie,0
I am so happy today,1
I am feeling sad,0
The food was delicious,1
I hate this service,0
I am so excited,1
I am disappointed,0
This is the best thing ever,1
I am so angry,0
I am in love,1
I am confused,0.5
This is a great idea,1
I am tired,0.5
The service was slow,0
I am so proud,1
I am bored,0.5
This is a horrible thing,0
I am so content,1
I am in awe,1
Great weather today!,1
I feel so happy right now.,1
The traffic is terrible.,0
This movie is amazing!,1
I'm indifferent about this topic.,0.5
Delicious food at the restaurant.,1
The service was disappointing.,0
I can't stand this heat.,0
Exciting news!,1
I have mixed feelings about it.,0.5
Meeting went well.,1
Such a boring lecture.,0
I'm in love with this song.,1
The wait time is ridiculous.,0
The sunset is beautiful.,1
Unpleasant experience at the store.,0
I don't care about it.,0.5
Thrilling adventure!,1
The product is not as expected.,0
I'm feeling neutral.,0.5
Best day ever!,1
I'm so annoyed right now.,0
Fantastic performance!,1
The test was challenging.,0
Indifferent about the outcome.,0.5
Beautiful artwork.,1
I hate waiting.,0
Positive vibes only!,1
I'm unsure about my decision.,0.5
Awful weather today.,0
Amazing discovery!,1
The service was excellent.,1
I'm not impressed.,0
Exciting opportunity.,1
I'm feeling alright.,0.5
Disappointing results.,0
I'm loving the new update.,1
The presentation was boring.,0
I'm on the fence about it.,0.5
Delightful surprise!,1
The traffic is smooth.,1
I'm so frustrated.,0
The view is breathtaking.,1
Uninteresting conversation.,0
I have no opinion.,0.5
Fantastic book!,1
I can't believe this happened.,0
Neutral response.,0.5
Stunning performance!,1
I'm feeling down.,0
Unexpected turn of events.,1
The service was subpar.,0
Exciting times ahead!,1
I'm indifferent towards politics.,0.5
Rainy day blues.,0
Fantastic game!,1
The wait is unbearable.,0
Feeling optimistic.,0.5
The concert was disappointing.,0
I'm thrilled!,1
I'm not sure about this decision.,0.5
Terrible experience.,0
I'm feeling content.,0.5
Wonderful news!,1
The food was tasteless.,0
Enthusiastic response.,1
I have no strong feelings about it.,0.5
Great achievement!,1
I'm frustrated with the situation.,0
The movie was a letdown.,0
I'm feeling indifferent.,0.5
Beautiful day outside.,1
Annoying situation.,0
The service exceeded my expectations.,1
I'm unsure how I feel about it.,0.5
Fantastic result!,1
The traffic is flowing smoothly.,1
I'm upset about it.,0
The presentation was lackluster.,0
Feeling optimistic about the future.,0.5
Awesome party!,1
I don't really care.,0.5
The weather is gloomy.,0
Great experience at the museum.,1
I'm ecstatic!,1
The meeting was unproductive.,0
I'm feeling meh.,0.5
Incredible performance!,1
The service was terrible.,0
Exciting times!,1
I'm feeling indifferent about the outcome.,0.5
