text,sentiment
I love this product,Positive
This is a terrible movie,Negative
I am so happy today,Positive
I am feeling sad,Negative
The food was delicious,Positive
I hate this service,Negative
I am so excited,Positive
I am disappointed,Negative
This is the best thing ever,Positive
I am so angry,Negative
I am in love,Positive
This is a great idea,Positive
The service was slow,Negative
I am so proud,Positive
This is a horrible thing,Negative
I am so content,Positive
I am in awe,Positive
Great weather today!,Positive
I feel so happy right now,Positive
The traffic is terrible,Negative
This movie is amazing!,Positive
Delicious food at the restaurant,Positive
The service was disappointing,Negative
I can't stand this heat,Negative
Exciting news!,Positive
Meeting went well,Positive
Such a boring lecture,Negative
I'm in love with this song,Positive
The wait time is ridiculous,Negative
The sunset is beautiful,Positive
Unpleasant experience at the store,Negative
Thrilling adventure!,Positive
The product is not as expected,Negative
Best day ever!,Positive
I'm so annoyed right now,Negative
Fantastic performance!,Positive
The test was challenging,Negative
Beautiful artwork,Positive
I hate waiting,Negative
Positive vibes only!,Positive
Awful weather today,Negative
Amazing discovery!,Positive
The service was excellent,Positive
I'm not impressed,Negative
Exciting opportunity,Positive
Disappointing results,Negative
I'm loving the new update,Positive
The presentation was boring,Negative
Delightful surprise!,Positive
The traffic is smooth,Positive
I'm so frustrated,Negative
The view is breathtaking,Positive
Uninteresting conversation,Negative
Fantastic book!,Positive
I can't believe this happened,Negative
Stunning performance!,Positive
I'm feeling down,Negative
Unexpected turn of events,Positive
The service was subpar,Negative
Exciting times ahead!,Positive
Rainy day blues,Negative
Fantastic game!,Positive
The wait is unbearable,Negative
The concert was disappointing,Negative
I'm thrilled!,Positive
Terrible experience,Negative
Wonderful news!,Positive
The food was tasteless,Negative
Enthusiastic response,Positive
Great achievement!,Positive
I'm frustrated with the situation,Negative
The movie was a letdown,Negative
Beautiful day outside,Positive
Annoying situation,Negative
The service exceeded my expectations,Positive
Fantastic result!,Positive
The traffic is flowing smoothly,Positive
I'm upset about it,Negative
The presentation was lackluster,Negative
Awesome party!,Positive
The weather is gloomy,Negative
Great experience at the museum,Positive
I'm ecstatic!,Positive
The meeting was unproductive,Negative
Incredible performance!,Positive
The service was terrible,Negative
Exciting times!,Positive
